WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0872112,Display screen or portion thereof with a graphical user interface,20180126,20200107,Amrin Shabbirahmed Shaikh;Simon Scoffin,,1404,D704204;D717332;D726198;D743985;D763286;D766967;D770513;D776699;D779515;D789383;D793415;D802011;D803850;D806737;D813247;D817351;D822692;D847825;D854039;D855068;2016/0253632,"The ornamental design for a display screen or portion thereof with a graphical user interface, as shown and described."
D0872113,Display screen or portion thereof with graphical user interface,20180319,20200107,Ping-Chun Hsieh;Po-Hsuan Chang;Ka Wai Aidan Leung;Tong-Mu Chiang,HTC Corporation,1404,D701235;D709907;D750120;D753699;D754697;D785003;D788156;D791167;D802616;D803227;D810100;D819659;D843384;D851114;D852828;D854026;D857043;D864223;2011/0126156,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872114,"Display screen, or portion thereof, with a graphical user interface",20180421,20200107,Michael J. Schuster,,1404,8217904;D735235;D744540;D760766;2006/0112353;2008/0153071;2009/0227429;2012/0056836;2014/0173443;2016/0125635,"I claim the ornamental design for a display screen, or portion thereof, with a graphical user interface, as shown and described."
D0872115,Display screen or portion thereof with graphical user interface,20180603,20200107,Mario Azzi;Anton Davydov;Alan C. Dye;Nicholas Felton;Aurelio Guzmán;Stephen O. Lemay;Alexander Charles MacLean;Wyatt R. Mitchell;Marcel van Os;Christopher Wilson,Apple Inc.,1404,D678302;D736249;D744507;D748116;D755198;D756371;D765673;D766916;D769270;D775664;D789398;D808980;D808981;D809545;D851660;2011/0307349;2013/0117696;2014/0028682;2016/0117059;2016/0306806,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872116,Display screen or portion thereof with transitional graphical user interface,20180726,20200107,Daewon Kim;Jaewon Park;Hyunyeul Lee;Jiyoung Han;Hyungmin Kim,"Samsung Electronics Co., Ltd.",1404,D540340;D557275;8059182;D660864;D689899;D706775;D762223;D768680;D770500;D780198;D813267;D842320;2010/0302278;2012/0030623,"We claim the ornamental design for a display screen or portion thereof with transitional graphical user interface, as shown and described."
D0872117,Display screen with graphical user interface,20180906,20200107,Tsuyoshi Kobayashi;Osamu Nasu,Mitsubishi Electric Corporation,1404,D593110;D605657;D650794;D667434;D683740;D695752;D708204;D728612;D731546;D733751;D751105;D751110;D786922;D792459;D803880;D813270;D824957;D837260;D850462;D854047;2017/0053371,"The ornamental design for a display screen with graphical user interface, as shown and described."
D0872118,Display screen or portion thereof with graphical user interface,20180921,20200107,Jieun Byun;Yoojin Choi,"Samsung Electronics Co., Ltd.",1404,D418826;D546336;D667020;D711411;D730926;D733162;D741340;D753142;D753667;D756396;D759106;D768660;D770467;D771067;D772246;D777774;D782517;D789980;D793419;D795899;D797139;D805100;D812627;D820875;D828384;D829734;D832281;D833464;D833472;D835122;D835127;D837809;D839903;D841673;D843384;D847849;D847853;D848458;D858554;2018/0121047,"We claim the ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872119,Display screen or portion thereof with animated graphical user interface,20160427,20200107,Imran Chaudhri;Elizabeth Caroline Cranfill;Tiffany Jon;Chanaka Karunamuni,Apple Inc.,1404,D335125;D401231;D418826;6128010;D434765;6169538;6512525;6809724;D515093;D540337;D550682;D561192;D568331;D580449;D585453;D587720;D594467;D604305;D607890;D611054;D612843;D617336;D617337;D617808;7752569;D622283;D624088;D627362;D629414;D629415;D638843;D640280;D640281;D643849;D644238;D648734;8125347;D660861;8179371;D664962;D664963;D664964;D666209;D666212;D669089;8335993;D678312;D678896;D680130;D681631;D684163;D684170;D684588;D688256;D690313;D690314;D690722;D690723;D695772;D701502;D703682;D706296;D709909;D709910;D709911;D710369;D710877;8850340;D717825;D718775;D720772;D724605;D729261;D735237;D735238;D736239;D743414;D743428;D758386;D760746;D766912;D771646;D787534;D789378;D791783;D793408;D797752;D803238;D805534;D807916;2002/0021308;2002/0054120;2002/0113824;2003/0103088;2006/0101498;2007/0061753;2008/0005764;2008/0046824;2008/0094369;2008/0098331;2008/0141120;2008/0189658;2009/0058823;2009/0295746;2010/0030549;2010/0231523;2010/0259488;2010/0289824;2011/0167369;2011/0258547;2011/0264999;2011/0265040;2012/0019446;2012/0022868;2012/0023401;2013/0014136;2013/0080962;2013/0125036;2014/0040733;2014/0289641;2015/0347379;2016/0070469,"The ornamental design for a display screen or portion thereof with animated graphical user interface, as shown and described."
D0872120,Flat soft touch control panel user interface,20171026,20200107,Ronald B. Hicks;Sarah C. Harkleroad,,1404,D463401;D585906;D682304;D690728;D704734;D705799;D721090;8954895;D724616;D726209;D738382;9122383;D759672;D760769;D766289;D767619;D768148;D769314;D774518;D775148;D778314;D786269;D788785;D795910;D812093;D817348;D817981;D818488;D820861;D844645;2004/0134718;2009/0228820;2012/0113147;2013/0082965;2013/0198691;2014/0149889;2014/0190282;2015/0138155;2015/0205509,"We claim the ornamental design for a flat soft touch control panel user interface or a portion thereof, as shown and described."
D0872121,Display screen or portion thereof with transitional graphical user interface,20171114,20200107,Ashley Einspahr;Andrew Elder;Clare Adrien;Gregory Martin,"PALANTIR TECHNOLOGIES, INC.",1404,D393457;D395291;D397332;5809449;D415138;D428397;D429252;6169984;D442186;6256033;D454574;D462698;D473240;D521521;D534542;D543987;7305709;D572265;D572723;D576175;D597553;D599814;D599819;D640710;D650802;D656948;D656954;D664563;D665411;D665412;8238666;D667841;D673969;D677674;D677681;D681656;D683758;D684161;D685812;D687447;D687457;D690311;D693829;D693830;D693831;D694259;D694770;D694774;D695752;D696265;D697074;D704204;D704211;D705240;D705350;D711394;8812960;D714811;D714812;D715811;D716333;D716335;D719578;D719583;D720366;D721380;8943441;D725125;9043894;D731523;D734361;D740839;D741880;D743424;D746832;D749126;D749127;D749631;D750115;D751105;D751106;D751110;D751601;D757028;D766280;D766293;D766948;D767609;D770485;D773509;D783037;D785023;D791805;D809541;D810109;D810121;D810122;D813250;D820297;D825611;D828391;D829758;D834039;D836120;D837234;D848476;2002/0147728;2003/0090474;2003/0179223;2003/0208763;2005/0118996;2006/0112335;2007/0271530;2008/0148179;2008/0180394;2008/0189629;2008/0270884;2009/0013002;2009/0024940;2009/0063980;2009/0073118;2010/0017733;2010/0026640;2010/0042939;2010/0231529;2011/0060666;2011/0102421;2011/0249073;2011/0271186;2011/0283234;2012/0030622;2012/0084467;2012/0102435;2012/0242667;2013/0007202;2013/0019172;2013/0055244;2013/0117687;2013/0185676;2013/0198671;2013/0212507;2013/0290887;2013/0305184;2014/0013254;2014/0226052;2014/0351761;2015/0012885;2015/0052441;2015/0067598;2015/0089372;2015/0095822;2015/0128042;2015/0143279;2015/0170077;2015/0227961;2015/0331597;2016/0018979,"The ornamental design for a display screen or portion thereof with transitional graphical user interface, as shown and described."
